Info 0    [12:45:47.182] Starting TS Server
Info 33   [12:45:48.160] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 34   [12:45:48.160] Elapsed:: 0.00770801305770874ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 35   [12:45:48.160] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 36   [12:45:48.160] Elapsed:: 0.014416038990020752ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 37   [12:45:48.160] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/index.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 38   [12:45:48.160] Elapsed:: 0.003666996955871582ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b/index.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 39   [12:45:48.160] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 40   [12:45:48.161] Elapsed:: 0.004583001136779785ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 41   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 42   [12:45:49.003] Elapsed:: 0.03850001096725464ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
